3377.3271,3413.4566,3356.778,3388.1283,20200413,1897698.0,1997076.0
3394.4772,3423.7605,3369.435,3383.3726,20200414,1687519.0,1965270.0
3377.9796,3402.1231,3356.8977,3370.7788,20200415,1627177.0,1963654.0
3361.6276,3403.6276,3348.2079,3381.6648,20200416,1920817.0,1941130.0
3392.5015,3430.4744,3366.4172,3376.468,20200417,1837010.0,1903682.0
3398.9024,3398.9024,3354.7273,3356.2749,20200420,1240019.0,1920802.0
3345.1588,3345.1588,3299.3406,3327.8637,20200421,1693385.0,1900578.0
3311.1619,3363.7001,3295.8276,3363.7001,20200422,1574262.0,1937879.0
3364.9179,3376.9048,3314.6734,3318.8125,20200423,1638509.0,1897271.0
3314.1277,3336.5459,3308.6325,3330.4756,20200424,1212256.0,1870635.0
3332.48,3344.3578,3298.0394,3303.2896,20200427,1294719.0,1850195.0
3298.5057,3316.8003,3262.3967,3277.4162,20200428,1791333.0,1864154.0
3276.7618,3297.7309,3271.358,3284.7904,20200429,1067822.0,1868872.0
3295.8743,3346.7222,3295.1696,3345.3363,20200430,1461830.0,1786134.0
3360.0367,3382.959,3350.7862,3370.4791,20200506,1174175.0,1760041.0
3377.4141,3420.0916,3372.6001,3417.0468,20200507,1503248.0,1876223.0
3421.3845,3456.9503,3417.2411,3428.459,20200508,1524356.0,1854714.0
3434.5923,3449.5046,3409.4754,3427.3785,20200511,1360645.0,1841072.0
3423.8015,3442.5198,3416.4688,3439.6372,20200512,1086470.0,1865807.0
3445.5496,3470.5628,3410.8139,3440.0801,20200513,1732092.0,1856770.0
3440.0025,3448.8539,3420.0368,3421.7124,20200514,1474449.0,1877532.0
3419.0862,3451.5676,3404.4978,3440.6069,20200515,1558713.0,1867834.0
3442.3207,3516.4014,3432.0115,3500.4203,20200518,2083050.0,1784966.0
3500.9471,3553.1525,3496.0262,3532.2668,20200519,1737067.0,1794818.0
3527.6188,3527.6601,3497.6838,3503.2021,20200520,1208461.0,1780898.0
3505.6347,3542.247,3500.2703,3538.7671,20200521,1335433.0,1750871.0
3540.432,3564.6184,3475.8285,3477.7585,20200522,2142582.0,1686200.0
