date,open,high,low,close,volume,open_interest
2020-01-03,3188.8183,3261.758,3188.8105,3240.3064,312706.0,277408.0
2020-01-06,3249.3288,3397.0422,3249.3288,3379.4092,439136.0,283566.0
2020-01-07,3355.5806,3374.996,3301.6897,3339.2368,290236.0,260433.0
2020-01-08,3335.1867,3513.2306,3311.4838,3373.9077,401782.0,254357.0
2020-01-09,3336.2104,3354.1749,3228.4134,3236.0815,392607.0,239463.0
2020-01-10,3252.1205,3283.2038,3236.264,3279.4736,173229.0,242622.0
2020-01-13,3286.5318,3328.6299,3256.4432,3306.6908,278960.0,248200.0
2020-01-14,3296.9485,3310.8385,3237.7936,3261.0416,234002.0,239882.0
2020-01-15,3271.0761,3280.6017,3138.4924,3146.0887,432837.0,234179.0
2020-01-16,3162.9581,3178.9254,3151.0604,3162.6702,176770.0,219253.0
2020-01-17,3162.8043,3182.6225,3121.9434,3129.8447,281582.0,229174.0
2020-01-20,3132.4128,3181.2529,3129.8898,3171.3093,184200.0,214783.0
2020-01-21,3168.8623,3175.1334,3123.6565,3154.929,188807.0,214395.0
2020-01-22,3143.3805,3174.3854,3101.4513,3144.8487,239315.0,204874.0
2020-01-23,3123.5525,3146.3129,3027.3378,3049.5972,238540.0,193294.0
2020-02-03,2805.3538,2871.5892,2801.2488,2802.9993,186779.0,201831.0
2020-02-04,2780.9506,2884.5455,2773.6029,2849.221,227769.0,209324.0
2020-02-05,2836.2467,2885.4772,2826.8405,2864.7237,209482.0,236006.0
2020-02-06,2881.0789,2959.1758,2873.1498,2949.7908,276255.0,247479.0
2020-02-07,2938.1111,2969.3987,2911.8871,2965.3714,208521.0,262388.0
2020-02-10,2929.643,2967.8882,2920.0879,2948.6124,211011.0,270908.0
2020-02-11,2933.1866,3018.6035,2931.4798,2986.4313,398883.0,303212.0
2020-02-12,2986.1094,3019.6038,2958.9727,2992.0245,358633.0,318021.0
2020-02-13,3000.361,3025.502,2976.3271,2989.0096,282301.0,330558.0
2020-02-14,3002.4002,3002.4572,2939.8176,2991.3371,347390.0,352666.0
2020-02-17,2997.7504,3003.8163,2970.0014,2994.1282,268390.0,357899.0
2020-02-18,2986.5394,3007.6727,2972.3635,2976.7506,210633.0,363497.0
2020-02-19,3028.9043,3089.5436,3012.8119,3071.0716,513013.0,370576.0
2020-02-20,3092.4606,3131.0972,3072.9848,3105.2538,350546.0,368385.0
2020-02-21,3101.6936,3110.1389,3078.2596,3092.0847,204172.0,371834.0
2020-02-24,3046.6218,3071.8773,3031.2175,3049.0047,295928.0,371637.0
2020-02-25,3031.6155,3101.0018,3009.4402,3093.4819,428115.0,410671.0
2020-02-26,3055.5885,3058.9127,2956.9905,2965.9637,619570.0,423280.0
2020-02-27,2927.2626,2927.2626,2844.3327,2862.2992,555547.0,409268.0
2020-02-28,2808.1092,2828.8872,2732.3639,2749.276,706900.0,410730.0
2020-03-02,2749.5301,2907.4094,2742.6664,2871.8624,707701.0,410788.0
2020-03-03,2953.4127,2988.6232,2876.5107,2917.3507,624913.0,393840.0
2020-03-04,2918.1643,2939.2923,2892.0636,2918.7367,391031.0,403683.0
2020-03-05,2911.7787,2935.3487,2895.6777,2915.7057,359127.0,424930.0
2020-03-06,2871.7304,2875.0074,2817.4349,2838.1616,530134.0,437312.0
2020-03-09,2643.1763,2643.2234,2642.8114,2642.8839,17902.0,431126.0
2020-03-10,2378.0256,2467.7611,2377.7562,2386.0437,931316.0,469865.0
2020-03-11,2423.8591,2464.6634,2276.6444,2293.2553,1576921.0,589731.0
2020-03-12,2258.7159,2293.0505,2206.1004,2207.7491,1191429.0,617552.0
2020-03-13,2169.4002,2212.4376,2026.7233,2158.7977,2057728.0,581878.0
2020-03-16,2092.6461,2172.0664,2068.7606,2084.3406,1462566.0,596821.0
2020-03-17,2080.8963,2123.6823,2043.9199,2084.4236,1267901.0,591881.0
2020-03-18,2007.4783,2061.717,1949.9534,1953.5275,1198336.0,589749.0
2020-03-19,1883.9811,1938.7184,1815.3374,1859.0928,1317260.0,577231.0
2020-03-20,1962.7558,1996.4999,1904.5695,1982.9603,1652692.0,566345.0
2020-03-23,1826.6016,1929.8505,1824.8979,1928.2738,1435501.0,602396.0
2020-03-24,1981.8106,2029.4151,1944.0048,2026.6063,1300862.0,596131.0
2020-03-25,2030.0372,2084.7777,2028.6758,2040.4257,1234628.0,642328.0
2020-03-26,2034.9357,2034.9364,1919.1568,1929.273,1604297.0,739887.0
2020-03-27,1929.8782,1961.9537,1888.0759,1929.3451,1634207.0,749267.0
2020-03-30,1866.5455,1874.2133,1821.268,1844.1129,1408241.0,780357.0
2020-03-31,1862.7054,1955.5149,1862.7054,1923.3227,1555951.0,788682.0
2020-04-01,1911.4972,1952.6945,1896.7076,1938.6254,1206159.0,762877.0
2020-04-02,1930.6623,2114.8987,1929.7951,2089.1118,2129063.0,761033.0
2020-04-03,2142.5096,2149.3457,2032.263,2112.9477,2284283.0,781981.0
2020-04-07,2170.8437,2241.9143,2168.619,2221.6677,1495575.0,776112.0
2020-04-08,2177.5566,2230.7396,2164.5098,2197.9469,1350906.0,797738.0
2020-04-09,2241.311,2256.0443,2222.668,2251.0992,982290.0,808157.0
2020-04-10,2172.3947,2234.3201,2138.4419,2234.3201,1039912.0,803387.0
2020-04-13,2265.2976,2312.8676,2218.6769,2238.1704,1622582.0,757456.0
2020-04-14,2242.8586,2254.6078,2183.4744,2245.4326,1396335.0,787072.0
2020-04-15,2192.8874,2305.9595,2183.4988,2270.8236,1726660.0,807604.0
2020-04-16,2274.2046,2328.2311,2216.3027,2244.3674,2106571.0,806350.0
2020-04-17,2279.5788,2303.6595,2213.4674,2240.3563,1710368.0,816841.0
2020-04-20,2184.3265,2229.9828,2168.8074,2223.3855,1311448.0,812289.0
2020-04-21,2169.1105,2212.3124,2013.7906,2051.4375,2768659.0,809701.0
2020-04-22,1935.7965,1981.4426,1915.3977,1951.3071,2153782.0,805334.0
2020-04-23,2007.9427,2144.2702,2007.92,2144.036,2109923.0,788806.0
2020-04-24,2162.84,2209.2075,2114.7954,2161.0126,2332787.0,706190.0
2020-04-27,2132.3748,2196.7798,2110.6773,2142.7427,2418523.0,710194.0
2020-04-28,2116.6196,2134.3388,2038.2669,2113.9908,2417644.0,694822.0
2020-04-29,2157.164,2201.6647,2142.0477,2185.6411,1739206.0,649383.0
2020-04-30,2236.6693,2258.2792,2211.0423,2212.6614,1290506.0,626352.0
2020-05-06,2365.6626,2376.0413,2256.5235,2271.0061,1030406.0,619271.0
2020-05-07,2240.6038,2276.655,2227.6325,2250.4626,853026.0,637522.0
2020-05-08,2305.2793,2305.5258,2222.1823,2261.2667,1068846.0,631085.0
2020-05-11,2250.6681,2265.6302,2214.6305,2230.0901,830074.0,642551.0
2020-05-12,2238.3807,2241.7611,2176.2785,2190.335,723194.0,656745.0
2020-05-13,2212.0681,2260.352,2143.1192,2257.3447,1259593.0,660224.0
2020-05-14,2265.5017,2268.959,2221.7167,2242.1892,971688.0,646933.0
2020-05-15,2245.4454,2297.3761,2237.0403,2276.8503,973059.0,642154.0
2020-05-18,2279.66,2289.4598,2227.0326,2276.03,1108897.0,641128.0
2020-05-19,2293.9533,2344.5987,2286.822,2313.4106,1159290.0,638267.0
2020-05-20,2327.4963,2393.4731,2308.217,2380.9955,1047248.0,641914.0
2020-05-21,2395.9927,2430.6923,2383.8462,2412.561,857207.0,639006.0
2020-05-22,2415.7376,2421.7366,2325.2152,2337.0122,1024181.0,597429.0
2020-05-25,2351.3328,2470.4741,2341.3371,2455.1338,1176818.0,627995.0
2020-05-26,2465.1881,2523.8745,2453.6516,2517.7395,1112143.0,653104.0
2020-05-27,2523.0833,2536.0699,2480.8153,2508.1767,947269.0,643662.0
2020-05-28,2507.3225,2511.1206,2462.9866,2491.3324,751981.0,600397.0
2020-05-29,2502.4834,2559.6431,2496.4074,2529.1398,890485.0,598535.0
2020-06-01,2527.8328,2637.2985,2514.9911,2633.6799,806810.0,613881.0
2020-06-02,2625.2155,2650.291,2601.6135,2623.88,663198.0,593373.0
2020-06-03,2630.7839,2665.6487,2608.0739,2634.5261,735996.0,603255.0
2020-06-04,2610.8492,2659.623,2586.6505,2598.779,832480.0,585806.0
2020-06-05,2605.9164,2628.6624,2585.4598,2619.9172,552501.0,579567.0
2020-06-08,2665.1388,2671.5706,2615.7319,2641.9195,768819.0,585197.0
2020-06-09,2622.2254,2641.6581,2590.8582,2596.2658,604175.0,590558.0
2020-06-10,2583.0754,2621.5263,2573.2256,2600.8615,472874.0,579539.0
2020-06-11,2607.3984,2609.4011,2529.5039,2544.8866,862753.0,589913.0
2020-06-12,2512.1326,2526.3472,2450.5529,2513.7776,884188.0,560717.0
2020-06-15,2539.389,2545.3513,2468.0961,2506.1333,693507.0,546406.0
2020-06-16,2514.7439,2613.2439,2501.9073,2609.9969,719757.0,539168.0
2020-06-17,2624.8067,2640.8157,2583.5596,2609.5721,594435.0,527123.0
2020-06-18,2608.7737,2620.6467,2588.7896,2605.1004,376975.0,513665.0
2020-06-19,2618.9892,2631.9698,2589.8809,2623.0569,437111.0,510685.0
2020-06-22,2635.3664,2639.0823,2601.8992,2608.7139,434883.0,500076.0
2020-06-23,2602.7889,2658.434,2596.8864,2618.4761,577311.0,492706.0
2020-06-24,2627.7838,2635.4479,2574.3836,2624.0485,469347.0,470885.0
2020-06-29,2583.9609,2616.1161,2545.7926,2600.5341,578470.0,495766.0
2020-06-30,2619.1695,2704.4767,2616.1745,2680.2659,879361.0,532960.0
2020-07-01,2677.3922,2778.0268,2667.8155,2767.6398,755494.0,587633.0
