date,open,high,low,close,volume,open_interest
2020-01-03,7294.1165,7345.6903,7271.4878,7320.8751,50002.0,84935.0
2020-01-06,7328.845,7407.3886,7317.9058,7386.6685,60320.0,80477.0
2020-01-07,7388.5593,7389.4931,7282.0697,7317.985,51307.0,80727.0
2020-01-08,7308.8109,7428.6967,7303.3134,7374.81,73547.0,74606.0
2020-01-09,7346.173,7385.3009,7268.3414,7307.1768,59436.0,73427.0
2020-01-10,7312.6859,7427.6819,7263.3173,7427.6819,73535.0,74588.0
2020-01-13,7432.9962,7565.0228,7424.005,7539.485,157257.0,87006.0
2020-01-14,7541.6858,7583.9794,7477.7321,7539.093,90732.0,89820.0
2020-01-15,7548.0356,7572.3507,7479.7966,7529.6459,84963.0,91390.0
2020-01-16,7527.8309,7548.281,7401.5472,7464.6405,86326.0,81137.0
2020-01-17,7458.8314,7496.2462,7439.4993,7458.5066,50607.0,81021.0
2020-01-20,7469.5915,7527.5279,7462.222,7513.2152,60220.0,80974.0
2020-01-21,7507.9402,7535.572,7421.1653,7432.7708,53227.0,74249.0
2020-01-22,7422.5329,7435.6204,7310.1688,7392.6234,58381.0,65581.0
2020-01-23,7391.8206,7407.9257,7267.5285,7281.9348,31982.0,63859.0
2020-02-03,6891.6117,6934.6942,6889.4265,6889.4265,25318.0,58238.0
2020-02-04,6672.6733,6878.3296,6555.5603,6867.7278,55186.0,55884.0
2020-02-05,6797.1016,7005.7527,6797.1016,6943.7088,55998.0,58518.0
2020-02-06,6979.05,7026.0221,6929.2151,6999.4398,36116.0,59789.0
2020-02-07,6977.9356,6993.7834,6953.4199,6981.6927,21794.0,60186.0
2020-02-10,6960.3018,6999.8203,6938.3775,6975.9302,20031.0,62445.0
2020-02-11,6956.1241,6991.4966,6926.5281,6947.8224,32343.0,65248.0
2020-02-12,6932.7454,6956.0139,6828.8747,6878.6607,53423.0,70269.0
2020-02-13,6894.4037,6905.7237,6843.1653,6888.6807,34631.0,72628.0
2020-02-14,6891.8696,6922.0778,6852.5353,6897.3775,33554.0,72562.0
2020-02-17,6906.4097,6997.0474,6882.7554,6964.4095,36097.0,73571.0
2020-02-18,6968.0502,7013.2618,6941.3277,6948.6793,37276.0,76487.0
2020-02-19,6966.5025,7035.5628,6947.3384,7007.8106,39302.0,80432.0
2020-02-20,7024.2921,7074.7004,6993.0027,7036.1338,45714.0,84857.0
2020-02-21,7035.8773,7083.9418,7024.0467,7053.5457,41587.0,87691.0
2020-02-24,7015.8341,7038.8328,6965.9968,7036.6638,35856.0,85694.0
2020-02-25,6980.3165,7030.169,6970.7551,7020.9627,28397.0,85634.0
2020-02-26,6991.2088,7051.2741,6921.2779,6924.9862,48070.0,86334.0
2020-02-27,6905.0911,6905.4423,6838.3502,6855.2841,32581.0,87054.0
2020-02-28,6813.0007,6842.0989,6698.2708,6709.9047,46720.0,83967.0
2020-03-02,6686.6436,6797.9213,6665.5796,6772.7832,45217.0,86350.0
2020-03-03,6818.4335,6860.8697,6720.1046,6721.2852,53258.0,92316.0
2020-03-04,6763.3962,6799.7578,6733.6678,6776.5173,41996.0,91235.0
2020-03-05,6778.8668,6793.6087,6742.8098,6768.8862,38527.0,89860.0
2020-03-06,6745.1721,6764.7823,6686.3663,6734.5373,47647.0,87742.0
